# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Fran�ais


# =============================================================================
# Interfaces and dialogs
# =============================================================================

website_main                        http://www.everybody-dies.com
website_main_retail                 http://www.defconthegame.com
website_main_retail_uk              http://www.defconvideogame.com
website_main_retail_multi_language  http://www.everybody-dies.com
website_buy                         http://store.introversion.co.uk
website_buy_steam                   steam://store/1520
website_buy_retail                  http://www.defconthegame.com
website_buy_retail_uk               http://www.defconvideogame.com
website_buy_retail_multi_language   http://www.everybody-dies.com
website_buy_macosx                  http://secure.ambrosiasw.com/add.php?action=add&item=3600
website_support                     http://www.everybody-dies.com/support/
website_support_retail              http://www.defconthegame.com/support/
website_support_retail_uk           http://www.defconvideogame.com/support/
website_support_retail_multi_language http://www.everybody-dies.com/support/
website_support_macosx              http://www.ambrosiasw.com/support/
website_mods                        http://www.everybody-dies.com/mods/
website_mods_retail                 http://www.defconthegame.com/mods/
website_mods_retail_uk              http://www.defconvideogame.com/mods/
website_mods_retail_multi_language  http://www.everybody-dies.com/mods/

dialog_mainmenu			Menu principal
dialog_newgame			Nouvelle partie
dialog_joingame			Rejoindre partie
dialog_leavegame			Quitter partie
dialog_manual                       Manuel d'utilisateur
dialog_exit			Quitter Defcon
dialog_confirm_exit			Confirmation
dialog_preparing			Pr�paration�
dialog_game_starting			D�part de la partie�
dialog_tutorial_starting			D�part du didacticiel�
dialog_exit_defcon			Quitter Defcon ?
dialog_leave_this_game			Quitter cette partie ?
dialog_chapter			Chapitre *C
# C = Chapter
dialog_tutorial			Didacticiel *T
# T = Tutorial
dialog_rolling_demo			D�mo tournante
dialog_tools			Outils
dialog_otheroptions			Autres options

dialog_options			Options
dialog_high			Maximum
dialog_medium			M�dium
dialog_low			Minimum
dialog_enabled			Activ�
dialog_disabled			D�sactiv�

dialog_apply			Appliquer
dialog_close			Fermer
dialog_yes			Oui
dialog_yes_l			oui
dialog_no			Non
dialog_no_l			non
dialog_ok			OK
dialog_cancel			Annuler
dialog_save			Sauvegarder
dialog_abort			Abandonner
dialog_restore_default			R�tablir par d�faut
dialog_load			Charger

dialog_increase			Augmenter
dialog_decrease			Diminuer

dialog_time_am			(matin)
dialog_time_pm			(a-m)

dialog_playername			Nom du joueur
dialog_teamname			Nom de l'�quipe
dialog_setplayername			Entrer nom du joueur
dialog_setteamname			Entrer nom de l'�quipe

dialog_graphicsoptions			Graphismes

dialog_borders			Fronti�res
dialog_citynames			Nom des villes
dialog_countrynames			Nom des pays
dialog_messages			Messages
dialog_water			Eau
dialog_radiation			Radiation
dialog_lowdetailworld			Monde peu d�taill�
dialog_objecttrails			Trace des objets
dialog_lobbyeffects			Effets au lobby

dialog_waternormal			Normale
dialog_watershaded			Nuanc�e

dialog_soundoptions			Sons
dialog_unavailable			non disponible
dialog_soundlibrary			Biblioth�que sonore
dialog_soundoutputdevice			Peripherique audio de sortie
dialog_sounddevice_default			Peripherique par defaut
dialog_directsound			DirectSound
dialog_softwaresound			Software Sound
