Team 3 : client 11 (Mojo), keyID = 13232546
Team 2 : client 10 (Corporation), keyID = 13232550
Team 1 : client 9 (LadenBinKezza), keyID = 13231954
Team 0 : client 7 (Kapishe), keyID = 13232504
Team 5 : client 12 (LadenBinKezza), keyID = 13231954
Team 4 : client 11 (NewPlayer), keyID = 13232556
Team 3 : client 10 (Mojo), keyID = 13232546
Team 2 : client 9 (zorilles), keyID = 13232535
Team 1 : client 8 (Corporation), keyID = 13232550
Team 0 : client 7 (MAX the MASTER), keyID = 13232504
Team 5 : client 12 (NewPlayer_2), keyID = 13232556
Team 4 : client 11 (Corporation), keyID = 13232550
Team 3 : client 10 (Mojo), keyID = 13232546
Team 2 : client 9 (LadenBinKezza), keyID = 13231954
Team 1 : client 8 (zorilles), keyID = 13232535
Team 0 : client 7 (NewPlayer), keyID = 13232504
