Team 7 : client 18 (Corporation), keyID = 13215723
Team 6 : client 17 (Gen. Turgidson), keyID = 13224985
Team 5 : client 16 (Sievert), keyID = 13210377
Team 4 : client 15 (Jackolite), keyID = 13196164
Team 3 : client 13 (Lord Haw Haw ), keyID = 425333
Team 2 : client 12 (FasterThanRaito), keyID = 13197076
Team 1 : client 11 (Mojo), keyID = 13227621
Team 0 : client 9 (LadenBinKezza), keyID = 13213071
Team 7 : client 18 (Gen. Turgidson), keyID = 13224985
Team 6 : client 17 (Sievert), keyID = 13210377
Team 5 : client 15 (Jackolite), keyID = 13196164
Team 4 : client 14 (Corporation), keyID = 13215723
Team 3 : client 13 (LadenBinKezza), keyID = 13213071
Team 0 : client 12 (Lord Haw Haw ), keyID = 425333
Team 2 : client 11 (FasterThanRaito), keyID = 13197076
Team 1 : client 10 (Mojo), keyID = 13227621
Team 7 : client 17 (Keaor), keyID = 13229427
Team 6 : client 16 (Jackolite), keyID = 13196164
Team 5 : client 15 (Sievert), keyID = 13210377
Team 4 : client 14 (Vault Tec), keyID = 13183470
Team 3 : client 13 (LadenBinKezza), keyID = 13213071
Team 2 : client 12 (Corporation), keyID = 13215723
Team 1 : client 11 (Lord Haw Haw ), keyID = 425333
Team 0 : client 9 (FasterThanRaito), keyID = 13197076
Team 7 : client 17 (Keaor), keyID = 13229427
Team 6 : client 16 (Vault Tec), keyID = 13183470
Team 5 : client 15 (FasterThanRaito), keyID = 13197076
Team 4 : client 13 (Sievert), keyID = 13210377
Team 3 : client 12 (Corporation), keyID = 13215723
Team 2 : client 11 (Lord Haw Haw ), keyID = 425333
Team 1 : client 10 (Jackolite), keyID = 13196164
Team 0 : client 9 (LadenBinKezza), keyID = 13213071
Team 6 : client 16 (Corporation), keyID = 13215723
Team 5 : client 15 (FasterThanRaito), keyID = 13197076
Team 4 : client 14 (Jackolite), keyID = 13196164
Team 3 : client 12 (Keaor), keyID = 13229427
Team 2 : client 11 (LadenBinKezza), keyID = 13213071
Team 1 : client 10 (Lord Haw Haw ), keyID = 425333
Team 0 : client 9 (Sievert), keyID = 13210377
Team 0 : client 17 (LadenBinKezza), keyID = 13194428
