Team 3 : client 12 (somanynames), keyID = 13239035
Team 2 : client 11 (hoov), keyID = 13237393
Team 1 : client 8 (zad), keyID = 13238933
Team 0 : client 7 (LadenBinKezza), keyID = 13238990
Team 3 : client 10 (LadenBinKezza), keyID = 13239348
Team 2 : client 9 (ALABAMA HAMMER), keyID = 13239322
Team 1 : client 8 (zad), keyID = 13238933
Team 0 : client 7 (Haakon), keyID = 13239068
Team 3 : client 10 (Corporation), keyID = 13239212
Team 2 : client 9 (zad), keyID = 13238933
Team 1 : client 8 (ALABAMA HAMMER), keyID = 13197221
Team 0 : client 7 (LadenBinKezza), keyID = 13239348
Team 2 : client 12 (Corporation), keyID = 13239212
Team 3 : client 11 (LadenBinKezza), keyID = 13239348
Team 0 : client 9 (ALABAMA HAMMER), keyID = 13197221
Team 1 : client 8 (zad), keyID = 13238933
Team 3 : client 11 (raizer), keyID = 8102348
Team 2 : client 10 (Corporation), keyID = 13239212
Team 1 : client 8 (Haakon), keyID = 13239068
Team 0 : client 7 (zad), keyID = 13238933
Team 3 : client 10 (raizer), keyID = 8102348
Team 2 : client 9 (Corporation), keyID = 13239212
Team 1 : client 8 (Haakon), keyID = 13239068
Team 0 : client 7 (zad), keyID = 13238933
Team 1 : client 11 (raizer), keyID = 8102348
Team 3 : client 10 (Haakon), keyID = 13239068
Team 2 : client 9 (Corporation), keyID = 13239212
Team 0 : client 7 (zad), keyID = 13238933
Team 3 : client 10 (Corporation), keyID = 13239212
Team 2 : client 9 (raizer), keyID = 8102348
Team 1 : client 8 (Mojo), keyID = 13239385
Team 0 : client 7 (zad), keyID = 13238933
Team 3 : client 10 (LadenBinKezza), keyID = 13239693
Team 2 : client 9 (zad), keyID = 13238933
Team 1 : client 8 (Fight in WarRoom), keyID = 2968018
Team 0 : client 7 (Vault Tec), keyID = 13197768
Team 3 : client 10 (Vader), keyID = 13239841
Team 2 : client 9 (LadenBinKezza), keyID = 13239693
Team 1 : client 8 (Fight in WarRoom), keyID = 2968018
Team 0 : client 7 (zad), keyID = 13238933
Team 3 : client 10 (zad), keyID = 13238933
Team 2 : client 9 (Vader), keyID = 13239841
Team 1 : client 8 (Fight in WarRoom), keyID = 2968018
Team 0 : client 7 (LadenBinKezza), keyID = 13239693
Team 3 : client 10 (Fight in WarRoom), keyID = 2968018
Team 2 : client 9 (zad), keyID = 13238933
Team 1 : client 8 (Vader), keyID = 13239841
Team 0 : client 7 (LadenBinKezza), keyID = 13239693
Team 3 : client 11 (zad), keyID = 13238933
Team 2 : client 9 (ALABAMA HAMMER), keyID = 13240167
Team 1 : client 8 (hoov), keyID = 13237393
Team 0 : client 7 (Mojo), keyID = 13240143
Team 3 : client 10 (DaFoe), keyID = 13240227
Team 2 : client 9 (Gyarados), keyID = 13240101
Team 1 : client 8 (zad), keyID = 13238933
Team 0 : client 7 (hoov), keyID = 13237393
Team 3 : client 13 (Brosef Stalin), keyID = 13240309
Team 1 : client 12 (MIRValous), keyID = 13240034
Team 2 : client 11 (Corporation), keyID = 13240403
Team 0 : client 7 (hoov), keyID = 13237393
Team 3 : client 11 (Brosef Stalin), keyID = 13240309
Team 2 : client 9 (Corporation), keyID = 13240403
Team 1 : client 8 (hoov), keyID = 13237393
Team 0 : client 7 (LadenBinKezza), keyID = 13240518
Team 0 : client 11 (DaFoe), keyID = 13240551
Team 1 : client 10 (hoov), keyID = 13237393
Team 2 : client 9 (Corporation), keyID = 13240403
Team 3 : client 7 (Vault Tec), keyID = 13197768
Team 3 : client 11 (Gyarados), keyID = 13240796
Team 2 : client 10 (somanynames), keyID = 13240749
Team 1 : client 8 (LadenBinKezza), keyID = 13240830
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (somanynames), keyID = 13240749
Team 2 : client 9 (LadenBinKezza), keyID = 13240830
Team 1 : client 8 (Gyarados), keyID = 13240796
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 12 (LadenBinKezza), keyID = 13241028
Team 0 : client 11 (hoov), keyID = 13237393
Team 2 : client 10 (Corporation), keyID = 13241032
Team 1 : client 8 (zad), keyID = 13240706
Team 0 : client 11 (zad), keyID = 13240706
Team 3 : client 10 (Corporation), keyID = 13241032
Team 2 : client 9 (LadenBinKezza), keyID = 13241028
Team 1 : client 8 (hoov), keyID = 13237393
Team 3 : client 10 (Corporation), keyID = 13241032
Team 2 : client 9 (LadenBinKezza), keyID = 13241028
Team 1 : client 8 (hoov), keyID = 13237393
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (hoov), keyID = 13237393
Team 2 : client 9 (Corporation), keyID = 13241032
Team 1 : client 8 (LadenBinKezza), keyID = 13241028
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (LadenBinKezza), keyID = 13241028
Team 2 : client 9 (hoov), keyID = 13237393
Team 1 : client 8 (Corporation), keyID = 13241032
Team 0 : client 7 (zad), keyID = 13240706
Team 3 : client 10 (zad), keyID = 13240706
Team 2 : client 9 (Corporation), keyID = 13241032
Team 1 : client 8 (icq), keyID = 5861869
Team 0 : client 7 (hoov), keyID = 13237393
Team 3 : client 12 (Fight in WarRoom), keyID = 2968018
Team 1 : client 11 (hoov), keyID = 13237393
Team 2 : client 9 (icq), keyID = 5861869
Team 0 : client 7 (Corporation), keyID = 13241032
Team 3 : client 11 (Fight in WarRoom), keyID = 2968018
Team 1 : client 10 (zad), keyID = 13240706
Team 2 : client 9 (LadenBinKezza), keyID = 13241028
Team 0 : client 7 (Haakon), keyID = 13239068
Team 3 : client 10 (Haakon), keyID = 13239068
Team 2 : client 9 (Fight in WarRoom), keyID = 2968018
Team 1 : client 8 (zad), keyID = 13240706
